created_at,anotador_id,idx,respuesta,comentario_prem,comentario_hyp,region,palabras_marcadas
2026-05-23 22:14:12.409557+00,anotador_261,103,2,,,buenos_aires_amba,"[{""pos"":24,""source"":""prem"",""palabra"":""echaba""},{""pos"":25,""source"":""prem"",""palabra"":""de""},{""pos"":26,""source"":""prem"",""palabra"":""menos""}]"
2026-05-23 22:14:12.409557+00,anotador_261,128,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_261,185,,,,,"[{""pos"":25,""source"":""prem"",""palabra"":""Laughlin""}]"
2026-05-23 22:14:12.409557+00,anotador_261,185,,,,,"[{""pos"":25,""source"":""prem"",""palabra"":""Laughlin""},{""pos"":26,""source"":""prem"",""palabra"":""Air""}]"
2026-05-23 22:14:12.409557+00,anotador_261,185,2,,,buenos_aires_amba,"[{""pos"":25,""source"":""prem"",""palabra"":""Laughlin""},{""pos"":26,""source"":""prem"",""palabra"":""Air""},{""pos"":27,""source"":""prem"",""palabra"":""Force""},{""pos"":28,""source"":""prem"",""palabra"":""Base.""},{""pos"":8,""source"":""hyp"",""palabra"":""TX""}]"
2026-05-23 22:14:12.409557+00,anotador_261,218,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_261,224,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,98,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,277,4,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,277,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_232,279,4,,,buenos_aires_amba,"[{""pos"":6,""source"":""hyp"",""palabra"":""bella""}]"
2026-05-23 22:14:12.409557+00,anotador_196,878,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_196,885,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_232,899,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_329,901,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,1003,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,1059,4,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,1072,3,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,1083,3,,,buenos_aires_amba,"[{""pos"":14,""source"":""prem"",""palabra"":""fajines""},{""pos"":6,""source"":""hyp"",""palabra"":""hiedra.""}]"
2026-05-23 22:14:12.409557+00,anotador_156,1151,4,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,1163,4,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,1180,4,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_095,1422,3,La traducción se inventa exploracion espacial.,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_095,1424,3,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_095,1444,3,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_095,1446,3,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_095,1466,3,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_095,1478,4,,,buenos_aires_amba,"[{""pos"":8,""source"":""hyp"",""palabra"":""terminan""},{""pos"":9,""source"":""hyp"",""palabra"":""teniendo""},{""pos"":10,""source"":""hyp"",""palabra"":""que""}]"
2026-05-23 22:14:12.409557+00,anotador_095,1536,3,,,buenos_aires_amba,"[{""pos"":15,""source"":""hyp"",""palabra"":""capturas.""}]"
2026-05-23 22:14:12.409557+00,anotador_156,1185,4,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,1593,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,1617,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,274,5,,,buenos_aires_amba,[]
2026-05-23 22:14:12.409557+00,anotador_156,833,5,,,buenos_aires_amba,[]
2026-05-26 19:35:12.5742+00,anotador_294,7,5,,,buenos_aires_amba,[]
2026-05-26 19:35:36.370113+00,anotador_294,8,5,,,buenos_aires_amba,[]
2026-05-26 19:35:55.094015+00,anotador_294,9,5,,,buenos_aires_amba,[]
2026-05-26 19:36:32.179068+00,anotador_294,11,5,,,buenos_aires_amba,[]
2026-05-26 19:36:34.145685+00,anotador_294,25,5,,,buenos_aires_amba,[]
2026-05-26 19:36:35.116814+00,anotador_294,10,5,,,buenos_aires_amba,[]
2026-05-26 19:36:41.864029+00,anotador_294,28,5,,,buenos_aires_amba,[]
2026-05-26 19:36:42.681545+00,anotador_294,26,5,,,buenos_aires_amba,[]
2026-05-26 19:36:43.620703+00,anotador_294,27,4,,,buenos_aires_amba,"[{""pos"":3,""source"":""hyp"",""palabra"":""para""},{""pos"":4,""source"":""hyp"",""palabra"":""este""},{""pos"":5,""source"":""hyp"",""palabra"":""día.""}]"
2026-05-26 19:41:48.642818+00,anotador_264,40,1,,,,[]
2026-05-27 21:00:19.756842+00,anotador_261,1,2,enojada,,buenos_aires_amba,"[{""pos"":2,""source"":""hyp"",""palabra"":""molesto""}]"
2026-05-27 21:30:42.121452+00,anotador_261,39,4,,,buenos_aires_amba,[]
2026-05-27 21:31:26.452034+00,anotador_261,35,5,,,buenos_aires_amba,[]
2026-05-27 21:32:16.377293+00,anotador_261,29,4,,,buenos_aires_amba,[]
2026-05-27 21:34:25.960568+00,anotador_261,41,4,,,buenos_aires_amba,[]
2026-05-27 21:55:48.389752+00,anotador_261,108,5,,,buenos_aires_amba,[]
2026-05-27 21:55:59.433854+00,anotador_261,4418,5,,,buenos_aires_amba,[]
2026-05-27 21:56:06.690406+00,anotador_261,378,5,,,buenos_aires_amba,[]
2026-05-27 21:56:14.480819+00,anotador_261,303,5,,,buenos_aires_amba,[]
2026-05-27 21:56:26.289245+00,anotador_261,591,5,,,buenos_aires_amba,[]
2026-05-27 22:05:16.140092+00,anotador_261,934,4,,,buenos_aires_amba,[]
2026-05-27 22:05:45.98629+00,anotador_261,3734,2,"Te voy a buscar
Voy a estar afuera",,buenos_aires_amba,"[{""pos"":1,""source"":""prem"",""palabra"":""buscaré""},{""pos"":0,""source"":""prem"",""palabra"":""¡Te""},{""pos"":0,""source"":""hyp"",""palabra"":""Estaré""},{""pos"":1,""source"":""hyp"",""palabra"":""fuera,""}]"
2026-05-27 22:08:18.56952+00,anotador_261,841,3,a la noche,,buenos_aires_amba,"[{""pos"":8,""source"":""hyp"",""palabra"":""por""}]"
2026-05-27 22:09:44.436653+00,anotador_261,1147,4,,,buenos_aires_amba,[]
2026-05-27 22:15:07.775472+00,anotador_156,47,4,,,buenos_aires_amba,[]
2026-05-27 22:15:40.678312+00,anotador_156,285,4,,,buenos_aires_amba,[]
2026-05-27 22:17:41.912825+00,anotador_156,970,4,,,buenos_aires_amba,[]
2026-05-27 22:18:19.738471+00,anotador_156,302,5,,,buenos_aires_amba,[]
2026-05-27 22:18:35.467728+00,anotador_156,918,2,"voy a intentar
voy a ir ",,buenos_aires_amba,"[{""pos"":2,""source"":""prem"",""palabra"":""intentaré""},{""pos"":1,""source"":""hyp"",""palabra"":""iré""}]"
2026-05-27 22:23:08.349607+00,anotador_055,3070,5,,,buenos_aires_amba,[]
2026-05-27 22:23:37.683781+00,anotador_055,853,3,rara premisa,,buenos_aires_amba,[]
2026-05-27 22:23:54.90852+00,anotador_055,1116,4,,,buenos_aires_amba,[]
2026-05-27 22:27:36.719285+00,anotador_024,442,4,,,,"[{""pos"":0,""source"":""prem"",""palabra"":""Cuando""}]"
2026-05-27 22:54:27.536291+00,anotador_261,468,4,,,buenos_aires_amba,[]
2026-05-27 22:56:55.440773+00,anotador_094,1172,3,,,buenos_aires_amba,[]
2026-05-27 22:57:47.674429+00,anotador_094,1174,3,Son todas palabras muy neutras. Quizas ,,buenos_aires_amba,"[{""pos"":18,""source"":""prem"",""palabra"":""paja""}]"
2026-05-27 22:58:47.347178+00,anotador_094,170,3,"De vuelta, todo muy neutro, lo puede decir un argentino como un español o un mexicano pero está bien",,buenos_aires_amba,[]
2026-05-27 22:59:26.498518+00,anotador_094,151,3,,,buenos_aires_amba,[]
2026-05-27 22:59:32.658139+00,anotador_094,904,3,,,buenos_aires_amba,[]
2026-05-27 22:59:48.584949+00,anotador_094,976,5,,,buenos_aires_amba,[]
2026-05-27 23:00:08.986444+00,anotador_094,854,4,,,buenos_aires_amba,[]
2026-05-27 23:00:10.029969+00,anotador_294,3765,4,,,buenos_aires_amba,"[{""pos"":8,""source"":""hyp"",""palabra"":""IRT,""},{""pos"":8,""source"":""prem"",""palabra"":""IRT""}]"
2026-05-27 23:00:29.74131+00,anotador_294,1182,4,,,buenos_aires_amba,"[{""pos"":5,""source"":""prem"",""palabra"":""transgrede""}]"
2026-05-27 23:00:32.663905+00,anotador_094,598,2,"La expresión ""suena como una aventura"" no se usa acá. Pondría algo como ""eso parece muy divertido"" o ""eso parece muy interesante"" ",,buenos_aires_amba,"[{""pos"":5,""source"":""prem"",""palabra"":""suena""},{""pos"":6,""source"":""prem"",""palabra"":""como""},{""pos"":7,""source"":""prem"",""palabra"":""una""},{""pos"":8,""source"":""prem"",""palabra"":""aventura""},{""pos"":1,""source"":""hyp"",""palabra"":""suena""},{""pos"":2,""source"":""hyp"",""palabra"":""como""},{""pos"":3,""source"":""hyp"",""palabra"":""una""},{""pos"":4,""source"":""hyp"",""palabra"":""gran""},{""pos"":5,""source"":""hyp"",""palabra"":""aventura.""}]"
2026-05-27 23:01:54.330974+00,anotador_094,50,1,"Porche no, se suele decir que fue a la galería o a la entrada del edificio en cuestión. ",,buenos_aires_amba,"[{""pos"":16,""source"":""prem"",""palabra"":""porche.""}]"
2026-05-27 23:02:08.871889+00,anotador_294,3872,3,,,buenos_aires_amba,"[{""pos"":1,""source"":""prem"",""palabra"":""PLAID,""},{""pos"":0,""source"":""prem"",""palabra"":""FOREVER""},{""pos"":5,""source"":""hyp"",""palabra"":""POR""},{""pos"":6,""source"":""hyp"",""palabra"":""SIEMPRE""},{""pos"":7,""source"":""hyp"",""palabra"":""A""},{""pos"":8,""source"":""hyp"",""palabra"":""CUADROS.""}]"
2026-05-27 23:02:22.677677+00,anotador_294,1158,4,,,buenos_aires_amba,"[{""pos"":6,""source"":""prem"",""palabra"":""revolvía""}]"
2026-05-27 23:02:32.120014+00,anotador_047,66,3,la primera esta rara,,la_pampa,[]
2026-05-27 23:02:47.787071+00,anotador_047,768,1,"la primera 0 argentino, la segunda esta ok pq no hay otra manera de decirlo",,la_pampa,"[{""pos"":5,""source"":""prem"",""palabra"":""oí""}]"
2026-05-27 23:03:16.339609+00,anotador_294,282,5,,,buenos_aires_amba,[]
2026-05-27 23:03:21.694418+00,anotador_094,376,1,"""Guay"" no se usa. Lo cambiaría por ""divertido"" o para que suene más argentino aún: ""copado""",,buenos_aires_amba,"[{""pos"":2,""source"":""prem"",""palabra"":""guay,""}]"
2026-05-27 23:03:22.807943+00,anotador_294,69,4,,,buenos_aires_amba,"[{""pos"":4,""source"":""hyp"",""palabra"":""granero""}]"
2026-05-27 23:03:38.596904+00,anotador_047,368,4,la segunda muy argentina! la primera maso,,la_pampa,[]
2026-05-27 23:03:43.388483+00,anotador_047,992,1,acre? ,,la_pampa,"[{""pos"":5,""source"":""prem"",""palabra"":""acre,""},{""pos"":10,""source"":""hyp"",""palabra"":""acres""}]"
2026-05-27 23:04:26.400406+00,anotador_094,752,3,,,buenos_aires_amba,[]
2026-05-27 23:04:31.682202+00,anotador_047,1694,3,"el primero ok. la segunda, siento que no lo diríamos asi",,la_pampa,[]
2026-05-27 23:04:44.436861+00,anotador_047,63,1,muy generico,,la_pampa,[]
2026-05-27 23:04:51.189866+00,anotador_094,917,3,,,buenos_aires_amba,[]
2026-05-27 23:05:04.498942+00,anotador_094,781,4,"""Estás de compras"" es un poco raro porque estás esta bien pero de compras no se usa. Pondría ""cuando estás haciendo las compras""",,buenos_aires_amba,"[{""pos"":15,""source"":""prem"",""palabra"":""compras""},{""pos"":14,""source"":""prem"",""palabra"":""de""},{""pos"":13,""source"":""prem"",""palabra"":""estás""}]"
2026-05-27 23:06:32.061271+00,anotador_094,73,3,,,buenos_aires_amba,[]
2026-05-27 23:06:40.945451+00,anotador_094,174,4,,,buenos_aires_amba,[]
2026-05-27 23:06:56.568409+00,anotador_047,883,2,"en esta me pasa que no es una palabra en particular, sino como el sentimiento. la primera muy bien. la segunda yo diria ""hay veces que"" ",,la_pampa,"[{""pos"":0,""source"":""hyp"",""palabra"":""A""}]"
2026-05-27 23:07:25.230926+00,anotador_047,159,2,no solemos usar ese pasado. ,,la_pampa,"[{""pos"":3,""source"":""prem"",""palabra"":""solía""},{""pos"":4,""source"":""prem"",""palabra"":""contarle""}]"
2026-05-27 23:07:54.389651+00,anotador_047,1805,5,siento que re! de una u otra forma todo que ver,,la_pampa,[]
2026-05-27 23:08:10.744411+00,anotador_047,748,5,pura tranquilidad todo que ver!,,la_pampa,[]
2026-05-27 23:08:27.02133+00,anotador_047,979,5,otra cosa que no entiendo! espectacular,,la_pampa,[]
2026-05-27 23:08:55.266634+00,anotador_047,85,1,"generico, ",,la_pampa,[]
2026-05-27 23:09:16.631186+00,anotador_047,1192,1,,,la_pampa,"[{""pos"":12,""source"":""prem"",""palabra"":""teniendo""},{""pos"":13,""source"":""prem"",""palabra"":""lugar""}]"
2026-05-27 23:09:23.952861+00,anotador_047,1008,1,brillante no lo usamos. excelente en matemáticas aun menos. seria en matemática.,,la_pampa,"[{""pos"":6,""source"":""prem"",""palabra"":""brillante.""},{""pos"":4,""source"":""hyp"",""palabra"":""excelente""},{""pos"":5,""source"":""hyp"",""palabra"":""en""},{""pos"":6,""source"":""hyp"",""palabra"":""matemáticas.""}]"
2026-05-27 23:10:18.196009+00,anotador_047,1134,3,,,la_pampa,"[{""pos"":0,""source"":""prem"",""palabra"":""A""},{""pos"":1,""source"":""prem"",""palabra"":""menudo,""}]"
2026-05-27 23:16:32.073529+00,anotador_313,436,5,,,buenos_aires_amba,[]
2026-05-27 23:16:49.017259+00,anotador_313,266,4,"""sacan buenas fotos"" en vez de ""hacen buenas fotos"", pero es un detalle",,buenos_aires_amba,"[{""pos"":9,""source"":""prem"",""palabra"":""hacen""}]"
2026-05-27 23:17:36.679121+00,anotador_313,4964,5,,,buenos_aires_amba,[]
2026-05-27 23:17:41.316877+00,anotador_313,911,4,,,buenos_aires_amba,"[{""pos"":8,""source"":""prem"",""palabra"":""adiós""}]"
2026-05-27 23:17:47.920564+00,anotador_313,587,4,,,buenos_aires_amba,"[{""pos"":5,""source"":""hyp"",""palabra"":""apropiarse""},{""pos"":6,""source"":""hyp"",""palabra"":""de""},{""pos"":7,""source"":""hyp"",""palabra"":""él.""},{""pos"":4,""source"":""hyp"",""palabra"":""debe""}]"
2026-05-27 23:18:03.209272+00,anotador_313,894,4,"""a hace veinte años"" suena levemente incorrecto",,buenos_aires_amba,[]
2026-05-27 23:18:06.950265+00,anotador_261,2533,,,,,"[{""pos"":10,""source"":""prem"",""palabra"":""han""}]"
2026-05-27 23:18:07.202727+00,anotador_261,2533,4,,,buenos_aires_amba,[]
2026-05-27 23:18:52.623587+00,anotador_313,794,4,,,buenos_aires_amba,"[{""pos"":0,""source"":""hyp"",""palabra"":""¡Sé""}]"
2026-05-27 23:18:58.751401+00,anotador_313,830,5,,,buenos_aires_amba,[]
2026-05-27 23:21:17.205401+00,anotador_313,743,,,,,"[{""pos"":19,""source"":""prem"",""palabra"":""sin""}]"
2026-05-27 23:21:17.697331+00,anotador_313,743,4,,,buenos_aires_amba,"[{""pos"":19,""source"":""prem"",""palabra"":""sin""},{""pos"":20,""source"":""prem"",""palabra"":""más""},{""pos"":4,""source"":""hyp"",""palabra"":""sentarse""},{""pos"":6,""source"":""hyp"",""palabra"":""hablar""},{""pos"":5,""source"":""hyp"",""palabra"":""y""}]"
2026-05-27 23:21:53.411987+00,anotador_313,1053,4,,,buenos_aires_amba,"[{""pos"":6,""source"":""hyp"",""palabra"":""formas""},{""pos"":7,""source"":""hyp"",""palabra"":""superiores""},{""pos"":8,""source"":""hyp"",""palabra"":""de""},{""pos"":9,""source"":""hyp"",""palabra"":""pensamiento.""}]"
2026-05-27 23:22:04.297154+00,anotador_313,3594,3,,,buenos_aires_amba,"[{""pos"":30,""source"":""prem"",""palabra"":""éxito""},{""pos"":31,""source"":""prem"",""palabra"":""continuo""},{""pos"":3,""source"":""hyp"",""palabra"":""puesto""},{""pos"":4,""source"":""hyp"",""palabra"":""cero""},{""pos"":5,""source"":""hyp"",""palabra"":""recursos""},{""pos"":2,""source"":""hyp"",""palabra"":""ha""}]"
2026-05-27 23:22:39.925978+00,anotador_313,835,,,,,"[{""pos"":9,""source"":""prem"",""palabra"":""mayores""}]"
2026-05-27 23:22:40.248684+00,anotador_313,835,3,,,buenos_aires_amba,"[{""pos"":9,""source"":""prem"",""palabra"":""mayores""},{""pos"":10,""source"":""prem"",""palabra"":""mayores""},{""pos"":6,""source"":""prem"",""palabra"":""mayores""},{""pos"":7,""source"":""prem"",""palabra"":""así""},{""pos"":8,""source"":""prem"",""palabra"":""o""}]"
2026-05-27 23:23:04.129662+00,anotador_313,1109,5,,,buenos_aires_amba,[]
2026-05-27 23:23:21.647968+00,anotador_313,1092,,,,,"[{""pos"":1,""source"":""hyp"",""palabra"":""intercambiar""}]"
2026-05-27 23:23:21.927715+00,anotador_313,1092,4,,,buenos_aires_amba,"[{""pos"":1,""source"":""hyp"",""palabra"":""intercambiar""},{""pos"":2,""source"":""hyp"",""palabra"":""mucho""},{""pos"":3,""source"":""hyp"",""palabra"":""en""},{""pos"":4,""source"":""hyp"",""palabra"":""nuestra""},{""pos"":5,""source"":""hyp"",""palabra"":""economía.""}]"
2026-05-27 23:23:49.408134+00,anotador_313,812,3,,,buenos_aires_amba,"[{""pos"":8,""source"":""prem"",""palabra"":""la""},{""pos"":9,""source"":""prem"",""palabra"":""gente""},{""pos"":10,""source"":""prem"",""palabra"":""viste""},{""pos"":17,""source"":""prem"",""palabra"":""una""},{""pos"":18,""source"":""prem"",""palabra"":""gente""},{""pos"":19,""source"":""prem"",""palabra"":""yupi""}]"
2026-05-27 23:38:11.854692+00,anotador_167,1184,,,,,"[{""pos"":11,""source"":""hyp"",""palabra"":""Santo.""}]"
2026-05-28 00:03:33.633498+00,anotador_229,2098,3,,,buenos_aires_amba,[]
2026-05-28 00:03:52.899233+00,anotador_229,811,2,Yupi,,buenos_aires_amba,[]
2026-05-28 00:04:32.515135+00,anotador_229,425,2,,,buenos_aires_amba,[]
2026-05-28 00:04:41.706265+00,anotador_229,547,4,,,buenos_aires_amba,[]
2026-05-28 00:04:50.534836+00,anotador_229,168,2,Interestatal,,buenos_aires_amba,[]
2026-05-28 00:05:18.601304+00,anotador_229,736,3,Jurado,,buenos_aires_amba,[]
2026-05-28 00:05:28.283192+00,anotador_229,497,5,,,buenos_aires_amba,[]
2026-05-28 00:05:34.862981+00,anotador_229,189,5,,,buenos_aires_amba,[]
2026-05-28 00:05:52.743574+00,anotador_229,293,5,,,buenos_aires_amba,[]
2026-05-28 00:06:03.679819+00,anotador_229,389,4,,,buenos_aires_amba,[]
2026-05-28 00:06:22.591067+00,anotador_229,1168,3,,,buenos_aires_amba,[]
2026-05-28 00:06:42.043539+00,anotador_229,461,4,,,buenos_aires_amba,[]
2026-05-28 00:06:48.488953+00,anotador_229,429,4,,,buenos_aires_amba,[]
2026-05-28 00:06:58.948018+00,anotador_229,1127,2,,,buenos_aires_amba,[]
2026-05-28 00:07:06.354794+00,anotador_229,1046,2,,,buenos_aires_amba,[]
2026-05-28 00:46:31.290483+00,anotador_245,4529,2,,,,[]
2026-05-28 00:47:29.789604+00,anotador_245,3111,2,,,,[]
2026-05-28 00:47:53.823656+00,anotador_245,1018,2,,,,[]
2026-05-28 01:22:46.435083+00,anotador_003,480,4,Las frases son contradictorias ,,buenos_aires_amba,[]
2026-05-28 01:23:00.620815+00,anotador_003,959,3,,,buenos_aires_amba,"[{""pos"":4,""source"":""hyp"",""palabra"":""acaba""},{""pos"":10,""source"":""prem"",""palabra"":""seria""}]"
2026-05-28 01:24:02.008451+00,anotador_003,823,5,,,buenos_aires_amba,[]
2026-05-28 01:24:12.492162+00,anotador_003,1065,4,,,buenos_aires_amba,"[{""pos"":19,""source"":""prem"",""palabra"":""contenedor""}]"
2026-05-28 01:24:40.833635+00,anotador_003,1860,5,,,buenos_aires_amba,[]
2026-05-28 01:25:00.472218+00,anotador_003,255,4,,,buenos_aires_amba,"[{""pos"":17,""source"":""prem"",""palabra"":""mayor""}]"
2026-05-28 01:25:24.443841+00,anotador_003,971,5,,,buenos_aires_amba,[]
2026-05-28 01:25:32.755418+00,anotador_302,265,3,,,buenos_aires_amba,"[{""pos"":9,""source"":""prem"",""palabra"":""hacen""}]"
2026-05-28 01:25:39.208834+00,anotador_003,373,4,,,buenos_aires_amba,"[{""pos"":6,""source"":""hyp"",""palabra"":""modo""}]"
2026-05-28 01:26:00.251775+00,anotador_003,1122,4,,,buenos_aires_amba,"[{""pos"":7,""source"":""prem"",""palabra"":""ocurrir""}]"
2026-05-28 01:26:15.786245+00,anotador_003,147,3,,,buenos_aires_amba,"[{""pos"":14,""source"":""prem"",""palabra"":""comiencen""},{""pos"":8,""source"":""hyp"",""palabra"":""jamás""}]"
2026-05-28 01:26:20.485546+00,anotador_302,920,2,,,buenos_aires_amba,"[{""pos"":2,""source"":""hyp"",""palabra"":""forma""},{""pos"":2,""source"":""prem"",""palabra"":""intentaré""}]"
2026-05-28 01:26:39.21153+00,anotador_003,1189,,,,,"[{""pos"":2,""source"":""hyp"",""palabra"":""se""}]"
2026-05-28 01:26:39.428721+00,anotador_003,1189,4,,,buenos_aires_amba,"[{""pos"":2,""source"":""hyp"",""palabra"":""se""},{""pos"":3,""source"":""hyp"",""palabra"":""encuentran""}]"
2026-05-28 01:26:41.086821+00,anotador_302,1990,3,,,buenos_aires_amba,"[{""pos"":3,""source"":""hyp"",""palabra"":""iluso""},{""pos"":8,""source"":""hyp"",""palabra"":""existencia""}]"
2026-05-28 01:26:53.830513+00,anotador_003,365,5,,,buenos_aires_amba,[]
2026-05-28 01:27:06.768607+00,anotador_003,1077,5,,,buenos_aires_amba,[]
2026-05-28 01:27:08.254116+00,anotador_302,518,4,,,buenos_aires_amba,"[{""pos"":11,""source"":""prem"",""palabra"":""equiparte,""}]"
2026-05-28 01:27:17.96575+00,anotador_003,954,4,,,buenos_aires_amba,"[{""pos"":8,""source"":""prem"",""palabra"":""acortamiento""}]"
2026-05-28 01:27:40.495398+00,anotador_302,259,4,,,buenos_aires_amba,"[{""pos"":5,""source"":""prem"",""palabra"":""fraguó""}]"
2026-05-28 01:27:50.205291+00,anotador_003,457,5,,,buenos_aires_amba,[]
2026-05-28 01:27:53.004617+00,anotador_302,329,3,,,buenos_aires_amba,"[{""pos"":11,""source"":""prem"",""palabra"":""clara?""}]"
2026-05-28 01:28:16.23165+00,anotador_302,414,5,,,buenos_aires_amba,[]
2026-05-28 01:28:24.821956+00,anotador_003,136,,,,,"[{""pos"":1,""source"":""hyp"",""palabra"":""he""}]"
2026-05-28 01:28:25.038468+00,anotador_003,136,4,,,,"[{""pos"":1,""source"":""hyp"",""palabra"":""he""},{""pos"":2,""source"":""hyp"",""palabra"":""leído""}]"
2026-05-28 01:28:26.567855+00,anotador_302,877,4,,,buenos_aires_amba,"[{""pos"":23,""source"":""prem"",""palabra"":""partículas""},{""pos"":4,""source"":""hyp"",""palabra"":""combustible""},{""pos"":5,""source"":""hyp"",""palabra"":""diésel.""},{""pos"":17,""source"":""prem"",""palabra"":""diésel,""}]"
2026-05-28 01:28:54.845561+00,anotador_302,1164,4,,,buenos_aires_amba,[]
2026-05-28 01:29:11.624431+00,anotador_302,593,5,,,buenos_aires_amba,[]
2026-05-28 01:29:25.259998+00,anotador_302,852,4,,,buenos_aires_amba,[]
2026-05-28 01:29:37.91997+00,anotador_302,612,3,,,buenos_aires_amba,"[{""pos"":3,""source"":""hyp"",""palabra"":""reunirían""},{""pos"":5,""source"":""hyp"",""palabra"":""limpiarían""}]"
2026-05-28 01:29:55.247126+00,anotador_302,56,5,,,buenos_aires_amba,[]
2026-05-28 01:30:05.310424+00,anotador_302,1014,4,,,buenos_aires_amba,[]
2026-05-28 01:30:14.037758+00,anotador_302,124,3,,,buenos_aires_amba,"[{""pos"":6,""source"":""hyp"",""palabra"":""malvado.""}]"
2026-05-28 02:55:01.566131+00,anotador_289,87,5,,,buenos_aires_amba,[]
2026-05-28 02:55:20.719982+00,anotador_289,2534,5,,,buenos_aires_amba,[]
2026-05-28 02:55:38.207582+00,anotador_289,565,5,,,buenos_aires_amba,[]
2026-05-28 03:01:23.925475+00,anotador_127,226,4,"El final, el repetir “ entiendo la vida “, lo “argentino “ sería “del mismo modo que yo la entiendo “",,buenos_aires_amba,[]
